Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Blackpine,45.04685,-114.2038,ID,IOA-IOCG,Iron oxide copper gold,cobalt,Idaho Cobalt Belt,Past producer+CM resources,2,"Production (1945-1965): 5,500 metric tons @2% Cu; Co not recovered.","Total Inferred resources (1994): 800,000 metric tons @1.823% Cu, 0.007% Co (52 metric tons Co), and 0.413 g/t Au. Includes 600,000 t of oxide resources @1.04% Cu, 0.004% Co, and 0.13 g.t Au and 200,000 t sulfide resources @4.17% Cu, 0.014% Co, and 1.26 g/t Au.",MRDS (2005); Koba Resources Ltd. (2023); New World Resources (2021),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10119962
Blanchard mine,33.8118,-106.37497,NM,Hybrid magmatic REE / basin brine path,Fluorspar,"barite, fluorspar",Hansonburg district,CM-past producer,1,"Blanchard mine is a notable fluorite collecting locality but no significant recent production reported. Sporadic mining from 1916 to 1962 with a mill to process silver barite, fluorite, and galena. Maximum production about 6,000 short tons of barite in 1953. Eastern part of the Hansonburg district produced about 37,500 short tons of barite.",Unknown.,MRDS (2005); DeMark (2003); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10150896
"Blawn Mountain, Area 1",38.28014,-113.52096,UT,Climax-type,Lithocap alunite,"alumina, potash",Pine Grove-Blawn Mountain-Broken Ridge-Pink Knolls,CM resources,3,None.,"Inferred resource (2013): 2,255,3754 tons ore @14.62% Al2O3, 3.18% K2O, 5.87% K2SO4, and 2.04% SO4. Measured + Indicated resource (2013): 164,843,115 tons ore @15.41% Al2O3, 3.35% K2O, 6.2% K2SO4, and 2.04% SO4.",Kerr and others (2017),
"Blawn Mountain, Area 2",38.28623,-113.46381,UT,Climax-type,Lithocap alunite,"alumina, potash",Pine Grove-Blawn Mountain-Broken Ridge-Pink Knolls,CM resources,3,None.,"Inferred resource (2013): 134,770,366 tons ore @13.25% Al2O3, 2.9% K2O, 5.37% K2SO4, and 1.84% SO4. Measured + Indicated resource (2013): 398,338,829 tons ore @12.99% Al2O3, 2.97% K2O, 5.5% K2SO4, and 1.99% SO4.",Kerr and others (2017),
"Blawn Mountain, Area 3",38.25421,-113.55883,UT,Climax-type,Lithocap alunite,"alumina, potash",Pine Grove-Blawn Mountain-Broken Ridge-Pink Knolls,CM resources,3,None.,"Indicated resource (1972): 18,900,000 tons ore @16.62% Al2O3, 4.72% K2O, and 8.73% K2SO4. Inferred resource (1972): 281,400,000 tons @16.2% Al2O3, 4.6% K2O, and 8.51% K2SO4.",Kerr and others (2017),
"Blawn Mountain, Area 4",38.23924,-113.51403,UT,Climax-type,Lithocap alunite,"alumina, potash",Pine Grove-Blawn Mountain-Broken Ridge-Pink Knolls,CM resources,3,None.,"Indicated resource (1972): 51,700,000 tons ore @13.5% Al2O3, 3.84% K2O, and 7.09% K2SO4. Inferred resource (1972): 49,200,000 tons @14.1% Al2O3, 4.01% K2O, and 7.41% K2SO4.",Kerr and others (2017),
Blazer fluorspar,39.83821,-117.00263,NV,Climax-type,Fluorspar,fluorspar,Iowa Canyon district,CM resources,3,None.,"Resources 1970s: 300,000 short tons, 30% CaF2. 1974: 437,500 short tons, 25.8% CaF2.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271322
Blewett laterite,47.39922,-120.66337,WA,Chemical weathering,Nickel-cobalt laterite,"chromium, nickel",Ingalls ophiolite,CM resources,3,None.,Resource: 8 Mt of ore with 0.39% Ni and 0.83% Cr.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10203916
Block P mine,47.0838,-110.63251,MT,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,zinc,Little Belt Mountains,CM-past producer,1,"Production (1915-1948): 405,852 tons of ore, yielding 3,332 oz Au, 2,578,224 oz Ag, 775,112 lbs Cu, 42,750,417 lbs Pb, and 17,848,398 lbs Zn.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10089197
Bloody Canyon,40.51656,-118.13653,NV,Orogenic*,Antimony,antimony,NW Nevada Orogenic Antimony,CM-past producer,1,"Production (by 1942): about 1,000 short tons (1,090 t) Sb.",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042521
Blue Grouse Mountain mine,48.10068,-117.5097,WA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Tungsten King area,CM-past producer,1,Production (1952-1953): about 0.5 tons of concentrate @61% WO3 (report of poor recovery at mill; tailings are rich in WO3).,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042369
Blue Jack mine,38.42225,-92.31127,MO,Basin brine path,Barite (replacement and bedded),barite,Central Missouri Barite-Lead District,CM-past producer,1,"District produced more than 400,000 tons barite; barite contain up to 2% Sr.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10184422
Blue Moon,37.56603,-120.25655,CA,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Sierra Nevada Foothills massive sulfide,CM-past producer+resources,5,"Small-scale zinc mining during WWII. Production (1943-1945): 50,490.274 tonnes grading 2.126 g/t Au, 128.588 g/t Ag, 0.36% Cu, 0.48% Pb, 12.3% Zn).","Resource (2018): Inferred resource: 7.79 Mt @4.95% Zn, 0.46% Cu, 0.29% Pb, 1.33 opt Ag, 0.04 opt Au using a ZnEq cutoff of 4%.",MRDS (2005); Giroux and O'Connor (2018); Eric and Cox (1948),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10102860
Bohemia Basin,57.976,-136.4225,AK,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel",Southeast Alaska Fairweather trend PGE,CM resources,3,None.,"Resources (1982): The Basin and Takanis deposits have Proven resources accessible by open-pit mining of 15.1 Mst @0.37% Ni, 0.22% Cu, and 0.02% Co, at a 2.5:1 stripping ratio. The Flapjack deposit has 4 Mst of Inferred resources @0.21% Ni and 0.12% Cu. Small amounts of Au, Pt, and Pd are recoverable from these deposits (also known as Yakobi Island).",ARDF-ID: SI001; Bittenbender and others (1999); Still (1988),
Bokan Mountain (Dotson Zone),54.90939,-132.12719,AK,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,"beryllium, hafnium, REE, titanium, vanadium, zirconium",Southeastern Alaska REE,CM-past producer+resources,5,"Production (Ross Adams U mine is closed; 1957-1971): 85,600 tons ore @0.76% U3O8. Planned (2023 in pre-production): annual production at the Bokan-Dotson Ridge mine during the first five years of operation is estimated to be 2,250 tonnes of rare earth oxides, including 515 tonnes of yttrium oxide, 95 tonnes of dysprosium oxide, and 14 tonnes of terbium oxide. Location is for Dotson Zone.","Total resources (2019): 5,837,000 metric tons @0.602% lanthanides, 0.005% Be, 0.004% Hf, 0.383 % Ti, 0.010% V, and 0.188% zircon. See ARDF records and Karl and others (2021b) for details on individual deposits, including Dotson Zone, Cheri, Upper Cheri, Geiger, Geoduck, I & L Zone, Ross-Adams, Sunday Lake Zone.",Karl and others (2021b); ARDF-ID: DE015 to DE030.,https://doi.org/10.5066/P9I4NFSN
Bonanza Creek,65.3276,-151.3389,AK,Placer,Cassiterite,tin,Placer Au and Sn,CM resources,3,None.,"Indicated resource (1945): 45,000 cubic meters ore @28.7 g/cubic meter Sn and 0.36 g/cubic meter Au.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Bonita Creek,64.63642,-165.20087,AK,Placer,Wolframite/scheelite,tungsten,Placer Au,CM resources,3,None.,"Hudson and DeYoung (1978, p. 45) reported an estimated resource of 1.1 to 1.5 million cubic meters of placer ground containing 1 to 2 g Au and 190 g W per cubic meter.",ARDF-ID NM280; Hudson and DeYoung (1978); Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Bonne Terre,37.922,-90.54844,MO,Basin brine path,Zinc-lead (MVT and sedex),zinc,Old Lead Belt Subdistrict,CM resources,3,Unknown.,"District reserve: estimated 233 million metric tons with 3.3% Pb, 0.04% Zn and 2 g/t Ag.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10072179
Bonnie Claire,37.19978,-117.02249,NV,Lacustrine evaporite,Lithium clay,lithium,Bonnie Claire lithium,CM resources,3,None.,"Inferred resources (2021): Open-Pit (North) 288.7 Mt @947.9 ppm Li for 273.7 million kg Li or 1,256.9 million kg LCE. Open-Pit (South) 200.9 Mt @784 ppm Li for 157.5 million kg Li or 838.4 million kg LCE. Borehole 3,289 Mt @936.0 ppm Li for 3,078 million kg Li or 16,385 million kg LCE. Total LCE Inferred resources are 18,680.3 million kg at a cutoff grade of 500 ppm Li. Note that lithium is not in clays, but in carbonates and salts between clay and sand particles in the sediments.",Karl and others (2019); Samari and others (2021),https://doi.org/10.5066/P9ZKRWQF
Boomer mine,39.07639,-105.44891,CO,Climax-type,Greisen-S-R beryllium,beryllium,"Boomer, Redskin Granite",CM-past producer,1,"Production (1956-1960): 2,114 tons beryllium ore, grading from 2 to 11.2 BeO. A total production of about 3,000 tons of beryllium ore through 1965 seems to be a conservative estimate.",Unknown.,MRDS (2005); Hawley (1969),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013786
Boriana mine,34.93803,-113.91639,AZ,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Basin and Range Proterozoic W veins and replacements,CM-past producer+resources,5,"Production (1915-1957): 118,100 stu WO3; (1955-1959): 40 tons Cu concentrate.","Inferred resource (1943): 44,000 tons ore @1% WO3. Measured reserves (1943): 2,400 short tons @1.8% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Bornite/Ruby Creek Zone,67.0624,-156.948,AK,Basin brine path,Copper (sed-hosted and replacement),cobalt,Brooks Range-Central Belt Sed Cu,CM resources,3,None.,Inferred resource (2023): 202.7 Mt @1.46% Cu. Note: Cobalt resource not included pending additional metallurgical testing. Inferred resource (2018): 124.6 Mt @0.017% Co and 40.5 Mt ore @1.02% Cu; cutoff grade 0.5% Cu.,Kim and Drake (2023); Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Bornite/South Reef Zone,67.06527,-156.91952,AK,Basin brine path,Copper (sed-hosted and replacement),cobalt,Brooks Range-Central Belt Sed Cu,CM resources,3,None.,"Inferred resource (2018): 57,800,000 tonnes ore @0.025% Co and 2.89% Cu; cutoff grade 1.5% Cu. The most recent NI 43-101 report for South Reef reports 33 Mt ore, with an average grade of 3.51% Cu for a total of 2,554 Mlbs Cu. Cobalt has potential for reasonable prospects of eventual economic extraction, but further metallurgical testwork is deemed necessary to support a resource estimate, and better processing definitions (Kim and Drake, 2023).",ARDF-ID: AR071; Burger and others (2018) Kim and Drake (2023),https://doi.org/10.5066/P9V74HIU
Boss mine,35.81944,-115.57056,NV,Basin brine path,Zinc-lead (MVT and sedex),"PGE, zinc",Goodsprings mining district,CM-past producer,1,"Production (1886-1937): 396 troy oz Pt, 7,014 troy oz Ag, 594 troy oz Pd, 568,099 lbs Cu, 435 lbs Pb, and 1,771 troy oz Au. District production was ~109,000 tons (99,091 tonnes) Zn, 47,000 tons (42,727 tonnes) Pb, 2,500 tons (2,273 tonnes) Cu, 2.1 million oz (65,317 kg) Ag, 90,000 oz (2,799 kg) Au, and 1,300 oz (40 kg) Pt and Pd.",Unknown. Exploration in 2013 but no resource estimates.,MRDS (2005); Longwell and others (1965); van Angeren (2013),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047002
Boss-Bixby,37.66583,-91.17042,MO,IOA-IOCG,Iron oxide copper gold,cobalt,Southeast Missouri Iron Metallogenic Province,CM resources,3,None.,"Resource (1974): 40,000,000 short tons @0.035% Co, 0.83% Cu, and 18.0% Fe.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Boston Hills mines,32.75844,-108.29229,NM,Chemical weathering,Supergene manganese,manganese,Silver City (Chloride Flat) manganese deposits,CM-past producer+resources,5,"Production: Unknown. District produced 1,634,000 long tons Mn at 11 to 16% Mn.",District resource estimated at 10 million metric tons reserve (10 to 16% Mn; 30 to 40% Fe).,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10014773
Boulogne,30.74103,-81.98456,FL,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Lower Shoreline Placers,CM-past producer+resources,5,"Production (1974-1979): 16,316,745 metric tonnes ore @3.75% heavy minerals.","Reserve (Cabin Bluff; 1991): 26,325,000 metric tonnes ore @3.4% heavy minerals.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Bowers-Campbell mine,38.66087,-78.79473,VA,Basin brine path,Zinc-lead (MVT and sedex),zinc,Timberville and Austinville-Ivanhoe MVT districts,CM-past producer,1,Production (1957-1963): Zn - quantity unknown.,Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111261
Bradshaw pits,40.39833,-116.71889,NV,Basin brine path,Barite (replacement and bedded),barite,North-central Nevada barite,CM-past producer+resources,5,Production (1975-1982): unknown quantity.,"Resources: 1975: 78,760 tons (reserve, shipping grade 4.22 sp. gr.); 5,100 tons (low grade resource).",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044876
Brady Glacier,58.5529,-136.9294,AK,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Southeast Alaska Fairweather trend PGE,CM resources,3,None.,"Proven reserve (1995): 91,000,000 tonnes ore @0.03% Co, 0.3% Cu, and 0.5% Ni. PGE average about 0.18 ppm and exceed 1 ppm in massive sulfide units and in flotation concentrates. About 250,000 oz PGE exist in the drilled Ni-Cu resource area (Czamanske and others, 1981). ",ARDF-ID MF003; Burger and others (2018); Czamanske and others (1981),https://doi.org/10.5066/P9V74HIU
Brewer mine,34.65012,-80.4165,SC,Porphyry Cu-Mo-Au,High sulfidation gold-silver,fluorspar,Haile-Ridgeway; Brewer mining district,Past producer+CM resources,2,"Mined for topaz 1941-1948. Production (1987-1995): 178,000 oz oxide Au from open pits.","Topaz reserves are about 100,000 tons of schist averaging about 15% topaz; hypothetical resource estimated at about 800,000 tons of rock.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069808
Bridging the Gap Ag (Pb-Zn) project,47.5274,-116.17597,ID,Coeur d'Alene-type,Polymetallic sulfide,zinc,Coeur d'Alene Mining District (Silver Valley antimony),CM-past producer+resources,5,"Production (1886-1940): Blackhawk, Wyoming, Ranger, Crown Point, Silver King and Curley mines) over 2 million oz Ag, 9.4 million lbs Zn, and 6 million lbs Pb.","Total Inferred historical resources (2021): 197,766 metric tons @10.34% Zn, 5.22% Pb, and 87.4 g/metric ton Ag.",Ray (2016),
Brink,36.65412,-77.61758,VA,Placer,Ilmenite/rutile/leucoxene,"titanium, zirconium",Fall Zone Placers,CM-past producer+resources,5,Past heavy mineral production.,"Measured resources (2016): In situ heavy minerals 227,000 tonnes @3.3% heavy minerals; heavy mineral assemblage grade 67.9% ilmenite and 14.5% zircon.",Iluka Resources Limited (2017b),
Brinton mine,37.05701,-80.25561,VA,Orogenic,Gold,arsenic,Virginia metamorphic sulfide,CM-past producer,1,Production (1903-1919): estimated 75-100 tons of processed arsenic (99.75% As2O3).,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10080132
Broad River,35.11579,-81.57171,SC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Reserves (1955): 46,980 tons ilmenite, 15,080 tons zircon, 3,480 tons rutile, and 3,507 tons monazite.",Bellora and others (2019); Hansen and Theobald (1955),https://doi.org/10.5066/F7FN15D1
Broken Ladder,41.90812,-124.04146,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM resources,3,None; no recorded production for the Broken Ladder deposits.,"Identified resources (1990): 10,210,500 metric tons ore @3.24% Cr2O3.",MRDS (2005); McDonald and others (1990),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10259763
Brown Derby mine,38.5419,-106.62421,CO,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, lithium, niobium, REE, tantalum",Brown Derby,CM-past producer,1,"District (Quartz Creek district) production of 51 tons beryl, 283 tons lepidolite, 140 tons scrap mica, 5,000 lbs tantalum and columbium minerals, and 15 lbs monazite.",Unknown.,MRDS (2005); Staatz and Trites (1955),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10239376
Brown's Lake mine,45.5209,-112.83832,MT,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Rock Creek-Lost Creek mining districts,CM-past producer+resources,5,"Production (1928-1929): 87 tons ore @1.12% Cu, 0.011 troy oz/ton Au and 7.41 troy oz/ton Ag: (1953-1957): 625,107 tons @0.35% WO3.","Proven + Probable Reserve (1991): 3,300,000 tons @0.48% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Brownstone mine,37.35237,-118.70741,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer,1,"Production (1946-1955): 52,000 tons WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Brunswick-Altamaha,31.31667,-81.46667,GA,Placer,Monazite/xenotime,REE,Lower Shoreline Placers,CM resources,3,Unknown.,"Historical resource estimate: 65,850,000 metric tons @0.028% lanthanides (0.0285% monazite).","U.S. Bureau of Mines (1982, unpublished data); Jackson and Christiansen (1993)",
Buck Creek,65.643,-167.511,AK,Placer,Cassiterite,tin,Lost River-Kougarok Sn-W,CM-past producer,1,"Production (1902-1953): 1,000 metric tons Sn.","Resource of 59,000 cubic meters ore @1.7 kg/cubic meter Sn (Bliss and Menzie, 1995).",ARDF-ID TE020; Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Buckingham mine,37.20647,-94.46963,MO,Basin brine path,Zinc-lead (MVT and sedex),"gallium, germanium, zinc",Tri-State District,CM-past producer,1,"District production: 498 Mst of ore, with 2.8 Mst Pb and 11.7 Mst Zn. Past minor production of Cd, Ge, and Ga as byproducts of Zn and Pb extraction.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10244401
Buffalo Creek,35.40365,-81.46702,NC,Placer,Monazite/xenotime,REE,Piedmont fluvial placers,CM resources,3,None.,"Reserves (1953): 1,366 tons monazite.",Bellora and others (2019); Griffith and Overstreet (1953b),https://doi.org/10.5066/F7FN15D1
Buick mine,37.60586,-91.12263,MO,Basin brine path,Zinc-lead (MVT and sedex),zinc,Viburnum Trend,CM-past producer+resources,5,"Production (1969-1986): ~23.5 million metric tons ore @~8% Pb, 2.0% Zn, 0.21% Cu, and 1.0 oz/metric ton Ag.","Resource (2008): 12,700,000 metric tons @8.5% Pb and 2.2% Zn.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10244067
Bull Hill,44.39386,-104.09029,SD,Magmatic REE,Carbonatite,REE,Bear Lodge District and Broader Region,CM resources,3,None.,"Combined Measured + Indicated resource of 18 million tons averaging 3.05% ΣREO and an Inferred mineral resource of 31.8 million tons averaging 2.58% ΣREO, using a cutoff grade of 1.5% (for Bear Lodge carbonatite).",MRDS (2005); Dahlberg and others (2014),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10181720
